"the_geom","OBJECTID","NYSStreetID","LeftFromAddress","LeftToAddress","RightFromAddress","RightToAddress","CompleteStreetName","HighwayNumber","Jurisdiction","FCC","ACC","SPEED","LeftPostal","RightPostal","Shape.STLength(m)"
"MULTILINESTRING ((-78.862643159841 42.931828482217, -78.86289315741 42.932168486191, -78.86315315531 42.932618483014))","4,760","600,058,501",,,,,"Unnamed Street",,"14","A70","6","15","14214","14214","97.32147192709"
"MULTILINESTRING ((-78.845214165985 42.870862468615, -78.844956091128 42.871653486532))","10,718","477,797,294","316","370","317","369","Smith Street",,"12","A31","4","35","14210","14210","90.44270064489"
"MULTILINESTRING ((-78.827217182418 42.865740509822, -78.827070114355 42.866012485554, -78.826087157535 42.867394514466))","11,117","477,798,597","22","98","23","99","James P Coppola",,"12","A30","4","35","14210","14210","205.95396010794"
"MULTILINESTRING ((-78.804619308533 42.860630971559, -78.803483224799 42.860864965776, -78.803105296887 42.86093489243, -78.802862201528 42.860991401227, -78.802695808719 42.860994747863))","557","477,799,268","248","308",,,"Mineral Springs Road",,"12","A35","4","35","14210","14210","162.83118260894"
"MULTILINESTRING ((-78.868159186902 42.945680508905, -78.86821121075 42.945681449377))","3,403","477,776,677","98","98","99","99","Tioga Street",,"12","A41","5","25","14216","14216","4.2505999577"
"MULTILINESTRING ((-78.880745173352 42.880685482189, -78.880940200009 42.880685434038, -78.88097614973 42.880694477819))","7,563","477,794,717",,,,,"Lakefront Boulevard",,"12","A45","5","25","14202","14202","19.05343605676"
"MULTILINESTRING ((-78.841679132884 42.945003520858, -78.844082199098 42.945024469905))","3,951","477,776,829","222","270","223","285","Woodbridge Avenue",,"12","A41","5","25","14214","14214","196.29551930695"
"MULTILINESTRING ((-78.854295176913 42.957867440316, -78.854296126306 42.958643526395))","3,670","477,773,802","60","98","61","99","Hobmoor Avenue",,"12","A41","5","25","14216","14216","86.28727832092"
"MULTILINESTRING ((-78.83328316034 42.870150458044, -78.832419132143 42.869817473884))","11,027","477,797,600","1218","1256","1229","1249","Seneca Street","16","01","A21","4","35","14210","14210","79.76998182285"
"MULTILINESTRING ((-78.896921216842 42.93315697798, -78.895606667022 42.933076241379))","3,024","600,049,307",,,,,"Unnamed Street",,"12","A41","5","25","14207","14207","107.77088364211"
"MULTILINESTRING ((-78.870220123874 42.886786505263, -78.86981218249 42.888050484976))","7,343","477,793,060","196","246","195","245","Oak Street","954D","01","A30","2","35","14203","14203","144.43604432467"
